Projekt;Ticketnummer;Datum;Projektticket;Mitarbeiter;Gebucht (in PT);Fakturierbar (in PT);Firma;Abrechnungsstatus;Abrechenbar
Kieselstein GmbH / Urban Planning;1454670;14.02.2024;Added a new feature to improve user experience.;Liam Scholz;0.1673;0;Kieselstein GmbH;abgerechnet;00:12
Mondschein KG / Optical Engineering;7859506;05.02.2024;Integrated third-party API for extended functionality.;Julia Weber;0.37001;0.36739;Mondschein KG;abgerechnet;02:26
Adlerflug GmbH / Flight Dynamics;2403548;19.02.2024;Fixed compatibility issues with legacy systems.;Lukas Fischer;0.8734;1.07545;Adlerflug GmbH;abgerechnet;07:38
Wolfsblut GmbH / Veterinary Research;3763810;05.02.2024;Conducted performance testing and optimizations.;Lena Krause;0.03524;0.05543;Wolfsblut GmbH;abgerechnet;00:26
Silberfuchs GmbH / Cybersecurity;9183458;29.02.2024;Integrated third-party API for extended functionality.;Lukas Fischer;0.10819;0.13566;Silberfuchs GmbH;abgerechnet;00:33
Blitz & Co KG / Lightning Protection;5279508;02.02.2024;Enhanced search functionality with advanced filters.;Emma Hoffmann;0.0704;0.05183;Blitz & Co KG;abgerechnet;00:23
Himmelsstürmer KG / Pilot Programs;9482683;20.02.2024;Added a new feature to improve user experience.;Niklas Hahn;0.02902;0.03418;Himmelsstürmer KG;abgerechnet;00:20
Silberfuchs GmbH / AI Implementation;1024619;26.02.2024;Developed prototype for upcoming product launch.;Anna Becker;0.4444;0.47986;Silberfuchs GmbH;abgerechnet;03:26
Sturm & Partner / Financial Strategy;7016950;12.02.2024;Improved error handling and logging mechanisms.;Jonas Wagner;0.07142;0;Sturm & Partner;abgerechnet;00:27
Wolkenbruch AG / Data Security;7990472;20.02.2024;Enhanced search functionality with advanced filters.;Emma Kruger;0.06287;0.07342;Wolkenbruch AG;abgerechnet;00:23
Blitz & Co KG / Lightning Protection;9264997;12.02.2024;Integrated third-party API for extended functionality.;Jonas Wagner;0.03359;0.02537;Blitz & Co KG;abgerechnet;00:07
Sternschuppen AG / Satellite Technology;5817254;16.02.2024;Refactored code for better maintainability.;Sophie Schmidt;0.43955;0.49018;Sternschuppen AG;abgerechnet;03:39
Funkeln & Glanz KG / Retail Expansion;4290997;14.02.2024;Resolved bug in the payment module.;Lara Zimmer;0.03471;0.03508;Funkeln & Glanz KG;abgerechnet;00:39
Kieselstein GmbH / Architectural Design;5116096;12.02.2024;Enhanced search functionality with advanced filters.;Tim Neumann;0.15752;0.19301;Kieselstein GmbH;abgerechnet;01:20
Drachenfels GmbH / Storytelling;8242947;14.02.2024;Developed new analytics dashboard for insights.;Jan Kohler;0.11062;0.25555;Drachenfels GmbH;abgerechnet;02:26
Himmelsstürmer KG / Aviation Training;2839392;12.02.2024;Refactored code for better maintainability.;Tom Braun;0.02623;0.03531;Himmelsstürmer KG;abgerechnet;00:18
Feuersturm GmbH / Equipment Design;7690558;16.02.2024;Redesigned landing page for better conversion rates.;Lea Schneider;0.05216;0.0628;Feuersturm GmbH;abgerechnet;00:56
Wildfang AG / Adventure Gear;7166636;06.02.2024;Enhanced mobile responsiveness of the website.;Liam Scholz;0.12721;0.14503;Wildfang AG;abgerechnet;00:54
Eisberg GmbH / Supply Chain;3947282;29.02.2024;Redesigned landing page for better conversion rates.;Max Mueller;0.14269;0.10556;Eisberg GmbH;abgerechnet;00:49
Bergwerk AG / Sustainable Resources;1159680;01.02.2024;Resolved bug in the payment module.;Tim Neumann;0.02972;0.03633;Bergwerk AG;abgerechnet;00:43
Seeblick GmbH / Tourism Development;2388152;15.02.2024;Developed prototype for upcoming product launch.;Noah Schmid;0.08118;0.11453;Seeblick GmbH;abgerechnet;01:28
Funkeln & Glanz KG / Jewelry Design;3123419;29.02.2024;Implemented user authentication system.;Max Mueller;0.07406;0.10969;Funkeln & Glanz KG;abgerechnet;01:29
Wunderbar GmbH / Customer Engagement;8755116;26.02.2024;Refactored code for better maintainability.;Hannah Boehm;0.0332;0.0288;Wunderbar GmbH;abgerechnet;00:28
Nordlicht KG / Arctic Exploration;5397562;26.02.2024;Implemented caching mechanism for efficiency.;Hannah Boehm;0.46674;1.2161;Nordlicht KG;abgerechnet;09:33
Schattenspringer AG / Film Production;7972932;07.02.2024;Conducted performance testing and optimizations.;Paul Bauer;0.03371;0;Schattenspringer AG;abgerechnet;00:12
Fels & Stein GmbH / Rock Mechanics;3908274;15.02.2024;Implemented user authentication system.;Julia Weber;0.36199;0.25236;Fels & Stein GmbH;abgerechnet;02:56
Feuersturm GmbH / Fire Safety;1497817;26.02.2024;Enhanced search functionality with advanced filters.;Emma Hoffmann;0.03288;0.03706;Feuersturm GmbH;abgerechnet;00:01
Sternschuppen AG / Satellite Technology;7816576;15.02.2024;Improved error handling and logging mechanisms.;Paul Bauer;0.10351;0.1301;Sternschuppen AG;geprueft;01:04
Seeblick GmbH / Tourism Development;3821669;15.02.2024;Implemented caching mechanism for efficiency.;Lena Krause;0.0375;0.02803;Seeblick GmbH;abgerechnet;00:18
Wolfsblut GmbH / Zoology;4380680;14.02.2024;Implemented user authentication system.;Finn Lehmann;0.0273;0.02785;Wolfsblut GmbH;abgerechnet;00:12
Mondschein KG / Night Vision Tech;6494194;01.02.2024;Resolved bug in the payment module.;Jan Kohler;0.05105;0.06577;Mondschein KG;abgerechnet;00:40
Schattenspringer AG / Film Production;3694228;14.02.2024;Enhanced search functionality with advanced filters.;Paul Bauer;0.07424;0.07078;Schattenspringer AG;abgerechnet;00:36
Seeblick GmbH / Hotel Management;1304996;05.02.2024;Improved error handling and logging mechanisms.;Olivia Berg;0.03124;0.03378;Seeblick GmbH;abgerechnet;00:44
Kieselstein GmbH / Construction Innovation;5262643;27.02.2024;Upgraded server infrastructure for scalability.;Finn Lehmann;0.03692;0.03247;Kieselstein GmbH;abgerechnet;00:20
Funkeln & Glanz KG / Jewelry Design;7056362;20.02.2024;Refactored code for better maintainability.;Sophie Schmidt;0.03194;0.06407;Funkeln & Glanz KG;abgerechnet;00:15
Wolkenbruch AG / Data Security;3554141;12.02.2024;Redesigned landing page for better conversion rates.;Mia Koch;0.02523;0.03067;Wolkenbruch AG;abgerechnet;00:27
Feuersturm GmbH / Fire Safety;5037130;19.02.2024;Enhanced mobile responsiveness of the website.;Lukas Fischer;0.0288;0.03658;Feuersturm GmbH;abgerechnet;00:18
Silberfuchs GmbH / Technology R&D;5380754;13.02.2024;Added localization support for multiple languages.;Laura Schwarz;0.10112;0.08726;Silberfuchs GmbH;geprueft;00:57
Lichtblick AG / Environmental Impact;4259445;19.02.2024;Refactored code for better maintainability.;Olivia Berg;0.32483;0.25467;Lichtblick AG;abgerechnet;02:04
Schattenspringer AG / Entertainment Ventures;3069243;07.02.2024;Updated UI for a more modern look.;Tim Neumann;0.17259;0.14641;Schattenspringer AG;abgerechnet;01:32
Kleeblatt AG / Sustainability;5293939;06.02.2024;Added a new feature to improve user experience.;Simon Seidel;0.02842;0;Kleeblatt AG;abgerechnet;00:12
Eisberg GmbH / Cold Chain Solutions;8100905;14.02.2024;Fixed compatibility issues with legacy systems.;Noah Schmid;0.30586;0.31661;Eisberg GmbH;abgerechnet;02:18
Wasserfall AG / Eco-friendly Solutions;4766884;06.02.2024;Added localization support for multiple languages.;Noah Schmid;0.03493;0.03493;Wasserfall AG;abgerechnet;00:21
Mondschein KG / Innovation;3009321;13.02.2024;Implemented user authentication system.;Sophie Schmidt;0.05851;0.06961;Mondschein KG;abgerechnet;00:43
Blitz & Co KG / Smart Grid;1199719;08.02.2024;Optimized database queries for faster load times.;Lena Krause;0.03222;0.03351;Blitz & Co KG;geprueft;00:41
Wolkenbruch AG / IT Infrastructure;5062293;14.02.2024;Fixed compatibility issues with legacy systems.;Hannah Boehm;0.42583;0;Wolkenbruch AG;abgerechnet;00:08
Sturm & Partner / Financial Strategy;9880125;15.02.2024;Enhanced mobile responsiveness of the website.;Laura Schwarz;0.02791;0.02644;Sturm & Partner;abgerechnet;00:34
Seeblick GmbH / Tourism Development;2868637;22.02.2024;Added a new feature to improve user experience.;Felix Voigt;0.15531;0;Seeblick GmbH;abgerechnet;00:16
Sturm & Partner / Risk Management;7025563;21.02.2024;Resolved bug in the payment module.;Emma Kruger;0.06057;0.06084;Sturm & Partner;abgerechnet;00:07
Kleeblatt AG / Crop Management;4732434;27.02.2024;Developed prototype for upcoming product launch.;Finn Lehmann;0.09705;0.10659;Kleeblatt AG;abgerechnet;00:53
Sternschuppen AG / Satellite Technology;5819069;14.02.2024;Developed prototype for upcoming product launch.;Emma Hoffmann;0.02942;0;Sternschuppen AG;abgerechnet;00:27
Wildfang AG / Outdoor Equipment;6196854;19.02.2024;Updated UI for a more modern look.;Laura Schwarz;0.02625;0.03575;Wildfang AG;abgerechnet;00:06
Wasserfall AG / Eco-friendly Solutions;8802806;23.02.2024;Resolved bug in the payment module.;Finn Lehmann;0.52304;0.51668;Wasserfall AG;abgerechnet;04:40
Wolfsblut GmbH / Wildlife Conservation;6035488;07.02.2024;Redesigned landing page for better conversion rates.;Sara Brandt;0.06773;0;Wolfsblut GmbH;abgerechnet;00:07
Silberfuchs GmbH / Cybersecurity;2759691;09.02.2024;Added a new feature to improve user experience.;Felix Voigt;0.1636;0;Silberfuchs GmbH;abgerechnet;00:01
Drachenfels GmbH / Storytelling;2416986;06.02.2024;Conducted performance testing and optimizations.;Mia Koch;0.03025;0.03141;Drachenfels GmbH;abgerechnet;00:01
Eisberg GmbH / Supply Chain;4200300;13.02.2024;Implemented user authentication system.;Lukas Fischer;0.4783;1.04116;Eisberg GmbH;abgerechnet;09:43
Sonnenstrahl KG / Lighting Design;4390084;12.02.2024;Developed new analytics dashboard for insights.;David Meier;0.05418;0.059;Sonnenstrahl KG;abgerechnet;00:48
Sonnenstrahl KG / Energy Efficiency;5827904;14.02.2024;Developed new analytics dashboard for insights.;Niklas Hahn;0.52736;0.60278;Sonnenstrahl KG;abgerechnet;04:55
Fels & Stein GmbH / Rock Mechanics;7493181;26.02.2024;Redesigned landing page for better conversion rates.;Anna Becker;0.03657;0.07225;Fels & Stein GmbH;abgerechnet;00:40
Himmelsstürmer KG / Pilot Programs;7936093;20.02.2024;Enhanced search functionality with advanced filters.;Julia Weber;0.03037;0.02877;Himmelsstürmer KG;abgerechnet;00:30
Bergwerk AG / Mining Expansion;4194334;26.02.2024;Enhanced search functionality with advanced filters.;Laura Schwarz;0.02513;0.02637;Bergwerk AG;abgerechnet;00:38
Weitblick KG / Retirement Planning;7840122;13.02.2024;Enhanced search functionality with advanced filters.;Emma Kruger;0.0275;0;Weitblick KG;abgerechnet;00:18
Himmelsstürmer KG / Aircraft Maintenance;9194691;22.02.2024;Improved security protocols to protect data.;Clara Klein;0.03485;0.06567;Himmelsstürmer KG;abgerechnet;00:45
Adlerflug GmbH / Aviation Safety;2351845;12.02.2024;Added a new feature to improve user experience.;Lara Zimmer;0.02615;0.03146;Adlerflug GmbH;abgerechnet;00:26
Sternschuppen AG / Satellite Technology;4357876;15.02.2024;Resolved bug in the payment module.;Olivia Berg;0.08916;0.08971;Sternschuppen AG;abgerechnet;01:05
Sternschuppen AG / Astrophysics;9729602;13.02.2024;Fixed compatibility issues with legacy systems.;Lea Schneider;0.03667;0.02678;Sternschuppen AG;abgerechnet;00:36
Sturm & Partner / Financial Strategy;9332225;13.02.2024;Added a new feature to improve user experience.;Clara Klein;0.03419;0;Sturm & Partner;abgerechnet;00:18
Hinterland GmbH / Infrastructure;7624264;15.02.2024;Updated UI for a more modern look.;Tom Braun;0.03664;0;Hinterland GmbH;abgerechnet;00:04
Wildfang AG / Adventure Gear;7713967;20.02.2024;Automated deployment processes for CI/CD pipeline.;Sophie Schmidt;0.18776;0.21983;Wildfang AG;abgerechnet;01:21
Glücksklee GmbH / Pharmaceutical Development;1780442;12.02.2024;Added localization support for multiple languages.;Mia Koch;0.03354;0.03136;Glücksklee GmbH;abgerechnet;00:20
Himmelsstürmer KG / Aviation Training;8671783;12.02.2024;Conducted performance testing and optimizations.;Noah Schmid;0.14655;0.11647;Himmelsstürmer KG;abgerechnet;00:58
Nordlicht KG / Climate Research;3118239;27.02.2024;Improved error handling and logging mechanisms.;Niklas Hahn;0.18177;0.16632;Nordlicht KG;abgerechnet;00:53
Kleeblatt AG / Agriculture Innovation;8429266;29.02.2024;Improved security protocols to protect data.;Simon Seidel;0.02782;0.07292;Kleeblatt AG;abgerechnet;00:28
Wildfang AG / Product Innovation;5792344;08.02.2024;Implemented caching mechanism for efficiency.;Clara Klein;0.03203;0.03191;Wildfang AG;abgerechnet;00:38
Kleeblatt AG / Agriculture Innovation;7309747;05.02.2024;Implemented user authentication system.;Jonas Wagner;0.06194;0.06968;Kleeblatt AG;abgerechnet;00:32
Kieselstein GmbH / Urban Planning;5517293;01.02.2024;Developed prototype for upcoming product launch.;Jonas Wagner;0.03594;0;Kieselstein GmbH;abgerechnet;00:17
Wolkenbruch AG / IT Infrastructure;8249218;12.02.2024;Automated deployment processes for CI/CD pipeline.;Lara Zimmer;0.05033;0.06596;Wolkenbruch AG;abgerechnet;00:45
Lichtblick AG / Solar Panel Tech;8541390;01.02.2024;Fixed compatibility issues with legacy systems.;Hannah Boehm;0.11596;0;Lichtblick AG;abgerechnet;00:26
Sturm & Partner / Market Analysis;8872564;15.02.2024;Upgraded server infrastructure for scalability.;Sara Brandt;0.50154;0.47633;Sturm & Partner;abgerechnet;03:05
Adlerflug GmbH / Aerospace Engineering;6477120;09.02.2024;Resolved bug in the payment module.;Max Mueller;0.10576;0.09135;Adlerflug GmbH;abgerechnet;01:13
Feuersturm GmbH / Equipment Design;9259530;07.02.2024;Integrated third-party API for extended functionality.;Laura Schwarz;0.2648;0.23206;Feuersturm GmbH;abgerechnet;02:05
Kleeblatt AG / Agriculture Innovation;8141847;16.02.2024;Developed prototype for upcoming product launch.;Laura Schwarz;0.08011;0;Kleeblatt AG;abgerechnet;00:12
Himmelsstürmer KG / Aircraft Maintenance;7818173;06.02.2024;Implemented user authentication system.;Finn Lehmann;0.02651;0.02571;Himmelsstürmer KG;abgerechnet;00:07
Kieselstein GmbH / Architectural Design;8295533;05.02.2024;Added localization support for multiple languages.;Lea Schneider;0.03587;0.03343;Kieselstein GmbH;abgerechnet;00:07
Silberfuchs GmbH / AI Implementation;3154408;16.02.2024;Redesigned landing page for better conversion rates.;Mia Koch;0.02862;0.03624;Silberfuchs GmbH;abgerechnet;00:18
Schattenspringer AG / Film Production;8071474;28.02.2024;Enhanced search functionality with advanced filters.;Emma Hoffmann;0.18164;0.34079;Schattenspringer AG;abgerechnet;03:23
Hinterland GmbH / Rural Development;5412310;13.02.2024;Conducted performance testing and optimizations.;Emma Kruger;0.05174;0.05006;Hinterland GmbH;abgerechnet;00:24
Sturm & Partner / Risk Management;1816689;08.02.2024;Resolved bug in the payment module.;Liam Scholz;0.03241;0.03605;Sturm & Partner;abgerechnet;00:30
Bergwerk AG / Sustainable Resources;4547109;15.02.2024;Improved error handling and logging mechanisms.;Jonas Wagner;0.03636;0.0685;Bergwerk AG;abgerechnet;00:51
Glücksklee GmbH / Pharmaceutical Development;7392544;19.02.2024;Fixed compatibility issues with legacy systems.;Jonas Wagner;0.02813;0.03366;Glücksklee GmbH;abgerechnet;00:36
Blitz & Co KG / Smart Grid;5272298;12.02.2024;Integrated third-party API for extended functionality.;Olivia Berg;0.06943;0;Blitz & Co KG;abgerechnet;00:02
Glücksklee GmbH / Pharmaceutical Development;8801260;15.02.2024;Redesigned landing page for better conversion rates.;Simon Seidel;0.11592;0.1024;Glücksklee GmbH;abgerechnet;01:04
Funkeln & Glanz KG / Jewelry Design;7197073;15.02.2024;Automated deployment processes for CI/CD pipeline.;Olivia Berg;0.0316;0.06229;Funkeln & Glanz KG;abgerechnet;00:25
Wolfsblut GmbH / Wildlife Conservation;4627962;12.02.2024;Redesigned landing page for better conversion rates.;Felix Voigt;0.05057;0.06717;Wolfsblut GmbH;geprueft;00:48
Glücksklee GmbH / Health Solutions;2939532;26.02.2024;Improved security protocols to protect data.;Finn Lehmann;0.33241;0.71031;Glücksklee GmbH;abgerechnet;05:56
Nordlicht KG / Renewable Energy;4524909;09.02.2024;Fixed compatibility issues with legacy systems.;Lukas Fischer;0;0.05285;Nordlicht KG;abgerechnet;00:49
Wildfang AG / Adventure Gear;5471271;14.02.2024;Conducted performance testing and optimizations.;Lena Krause;0.08183;0.09815;Wildfang AG;abgerechnet;00:44
Wildfang AG / Adventure Gear;3529135;20.02.2024;Optimized database queries for faster load times.;Hannah Boehm;0.06754;0;Wildfang AG;abgerechnet;00:11
Hinterland GmbH / Rural Development;7673444;09.02.2024;Resolved bug in the payment module.;Noah Schmid;0.03177;0.02659;Hinterland GmbH;abgerechnet;00:24
Kleeblatt AG / Agriculture Innovation;6874201;13.02.2024;Optimized database queries for faster load times.;Mia Koch;0.02534;0;Kleeblatt AG;abgerechnet;00:06
Wolkenbruch AG / Cloud Computing;9211876;27.02.2024;Developed new analytics dashboard for insights.;Emma Hoffmann;0.17129;0.37497;Wolkenbruch AG;abgerechnet;03:40
Glücksklee GmbH / Pharmaceutical Development;5333823;15.02.2024;Updated UI for a more modern look.;Laura Schwarz;0.0996;0.23325;Glücksklee GmbH;abgerechnet;01:30
Feuersturm GmbH / Fire Safety;6178474;01.02.2024;Optimized database queries for faster load times.;Liam Scholz;0.10622;0.08185;Feuersturm GmbH;abgerechnet;00:20
Himmelsstürmer KG / Aviation Training;9451462;13.02.2024;Integrated third-party API for extended functionality.;David Meier;0.59041;0.51541;Himmelsstürmer KG;abgerechnet;04:25
Sonnenstrahl KG / Lighting Design;7425589;15.02.2024;Developed new analytics dashboard for insights.;Jan Kohler;0.22934;0.28633;Sonnenstrahl KG;abgerechnet;02:14
Morgenstern AG / Green Initiatives;5685261;29.02.2024;Resolved bug in the payment module.;Julia Weber;0.32787;0.35564;Morgenstern AG;abgerechnet;02:25
Nordlicht KG / Renewable Energy;7962649;08.02.2024;Developed new analytics dashboard for insights.;Sara Brandt;0.07061;0.05446;Nordlicht KG;abgerechnet;00:23
Mondschein KG / Optical Engineering;2636355;05.02.2024;Conducted performance testing and optimizations.;Clara Klein;0.20481;0.21702;Mondschein KG;abgerechnet;01:54
Wildfang AG / Outdoor Equipment;4807020;09.02.2024;Optimized database queries for faster load times.;Sara Brandt;0.89076;1.17808;Wildfang AG;abgerechnet;07:35
Drachenfels GmbH / Storytelling;5335691;27.02.2024;Updated UI for a more modern look.;Anna Becker;0.02754;0.02905;Drachenfels GmbH;abgerechnet;00:05
Adlerflug GmbH / Aerospace Engineering;4292120;19.02.2024;Improved security protocols to protect data.;Felix Voigt;0.03643;0.02614;Adlerflug GmbH;abgerechnet;00:45
Feuersturm GmbH / Fire Safety;4961470;27.02.2024;Upgraded server infrastructure for scalability.;Mia Koch;0.06374;0.07339;Feuersturm GmbH;abgerechnet;00:33
Mondschein KG / Optical Engineering;1289993;28.02.2024;Improved security protocols to protect data.;Simon Seidel;0.92283;1.58836;Mondschein KG;abgerechnet;10:57
Drachenfels GmbH / Fantasy Game Development;4963033;07.02.2024;Conducted performance testing and optimizations.;David Meier;0.36537;0.82551;Drachenfels GmbH;abgerechnet;06:22
Kieselstein GmbH / Architectural Design;5065201;14.02.2024;Updated UI for a more modern look.;Jan Kohler;0.06154;0.06077;Kieselstein GmbH;abgerechnet;00:00
Seeblick GmbH / Eco-Tourism;2583427;15.02.2024;Automated deployment processes for CI/CD pipeline.;Sara Brandt;0.0957;0.11236;Seeblick GmbH;abgerechnet;00:26
Sturm & Partner / Risk Management;8211960;21.02.2024;Developed prototype for upcoming product launch.;Lara Zimmer;0.42531;0.79857;Sturm & Partner;abgerechnet;07:33
Adlerflug GmbH / Aviation Safety;5918516;22.02.2024;Implemented caching mechanism for efficiency.;Sophie Schmidt;0.05871;0.0732;Adlerflug GmbH;abgerechnet;01:00
Sturm & Partner / Financial Strategy;5325483;15.02.2024;Automated deployment processes for CI/CD pipeline.;Niklas Hahn;0.49486;1.30526;Sturm & Partner;abgerechnet;08:36
Lichtblick AG / Environmental Impact;9867586;29.02.2024;Optimized database queries for faster load times.;Emma Kruger;0.02625;0.07278;Lichtblick AG;abgerechnet;00:11
Wolkenbruch AG / IT Infrastructure;3930940;14.02.2024;Added localization support for multiple languages.;Olivia Berg;0.06117;0;Wolkenbruch AG;abgerechnet;00:10
Blitz & Co KG / Lightning Protection;6133260;15.02.2024;Enhanced search functionality with advanced filters.;Liam Scholz;0.15621;0.24917;Blitz & Co KG;abgerechnet;02:08
Blitz & Co KG / Smart Grid;7587867;23.02.2024;Improved error handling and logging mechanisms.;Lukas Fischer;0.03247;0.03604;Blitz & Co KG;abgerechnet;00:38
Mondschein KG / Optical Engineering;8989856;23.02.2024;Resolved bug in the payment module.;Lea Schneider;0.03108;0.02588;Mondschein KG;abgerechnet;00:37
Funkeln & Glanz KG / Retail Expansion;3608422;16.02.2024;Added localization support for multiple languages.;Paul Bauer;0.26015;0.2588;Funkeln & Glanz KG;abgerechnet;02:24
Eisberg GmbH / Logistics Optimization;2689173;07.02.2024;Fixed compatibility issues with legacy systems.;Paul Bauer;0.03198;0.02824;Eisberg GmbH;abgerechnet;00:27
Nordlicht KG / Renewable Energy;2838439;28.02.2024;Improved security protocols to protect data.;Julia Weber;0.02604;0.02511;Nordlicht KG;abgerechnet;00:30
Wunderbar GmbH / Marketing Overhaul;6366162;27.02.2024;Enhanced search functionality with advanced filters.;Noah Schmid;0.07584;0.14082;Wunderbar GmbH;abgerechnet;01:11
Blitz & Co KG / Lightning Protection;5550192;28.02.2024;Refactored code for better maintainability.;Jonas Wagner;0.02701;0.03407;Blitz & Co KG;abgerechnet;00:44
Feuersturm GmbH / Equipment Design;6729641;20.02.2024;Improved error handling and logging mechanisms.;Lara Zimmer;0.05339;0.17126;Feuersturm GmbH;abgerechnet;00:55
Funkeln & Glanz KG / Luxury Goods;9927566;05.02.2024;Improved security protocols to protect data.;Tom Braun;0.2383;0.26057;Funkeln & Glanz KG;abgerechnet;01:56
Funkeln & Glanz KG / Retail Expansion;8869410;08.02.2024;Updated UI for a more modern look.;Finn Lehmann;0.09039;0.07675;Funkeln & Glanz KG;abgerechnet;00:57
Sonnenstrahl KG / Sustainable Solutions;6538552;20.02.2024;Automated deployment processes for CI/CD pipeline.;Max Mueller;0.03583;0;Sonnenstrahl KG;abgerechnet;00:27
Schattenspringer AG / Entertainment Ventures;3135024;27.02.2024;Added localization support for multiple languages.;Ben Richter;0.063;0.07396;Schattenspringer AG;abgerechnet;00:20
Sternschuppen AG / Satellite Technology;8493009;14.02.2024;Optimized database queries for faster load times.;Lukas Fischer;0.02831;0.03357;Sternschuppen AG;abgerechnet;00:06
Weitblick KG / Wealth Management;7326455;02.02.2024;Upgraded server infrastructure for scalability.;Hannah Boehm;0.12569;0.17523;Weitblick KG;abgerechnet;01:26
Kieselstein GmbH / Architectural Design;7781841;05.02.2024;Improved security protocols to protect data.;Sara Brandt;0.11049;0.10948;Kieselstein GmbH;abgerechnet;01:01
Adlerflug GmbH / Flight Dynamics;3612699;27.02.2024;Conducted performance testing and optimizations.;Jan Kohler;0.05222;0.05371;Adlerflug GmbH;abgerechnet;00:00
Sonnenstrahl KG / Sustainable Solutions;9868643;28.02.2024;Automated deployment processes for CI/CD pipeline.;Anna Becker;0.03197;0.02982;Sonnenstrahl KG;abgerechnet;00:36
Feuersturm GmbH / Emergency Planning;8102155;09.02.2024;Added a new feature to improve user experience.;Sophie Schmidt;0.03291;0.0276;Feuersturm GmbH;geprueft;00:21
Wildfang AG / Adventure Gear;1194077;13.02.2024;Improved error handling and logging mechanisms.;Emma Hoffmann;0.10983;0.12495;Wildfang AG;abgerechnet;01:28
Kieselstein GmbH / Architectural Design;8665593;23.02.2024;Redesigned landing page for better conversion rates.;Finn Lehmann;0.07395;0.05323;Kieselstein GmbH;abgerechnet;00:31
Hinterland GmbH / Rural Development;7287951;05.02.2024;Implemented caching mechanism for efficiency.;Anna Becker;0.25105;0.46807;Hinterland GmbH;abgerechnet;04:32
Adlerflug GmbH / Flight Dynamics;5916757;23.02.2024;Developed new analytics dashboard for insights.;Emma Kruger;0.11516;0.11004;Adlerflug GmbH;abgerechnet;00:47
Drachenfels GmbH / Storytelling;3928249;01.02.2024;Added a new feature to improve user experience.;Julia Weber;0.03204;0;Drachenfels GmbH;abgerechnet;00:28
Glücksklee GmbH / Health Solutions;3954079;28.02.2024;Added a new feature to improve user experience.;Laura Schwarz;0.07113;0.05322;Glücksklee GmbH;abgerechnet;00:16
Wasserfall AG / Hydropower Development;4281622;19.02.2024;Enhanced mobile responsiveness of the website.;Jonas Wagner;0.05253;0.14787;Wasserfall AG;abgerechnet;01:10
Adlerflug GmbH / Aerospace Engineering;8652069;07.02.2024;Conducted performance testing and optimizations.;Lisa Schulz;0.03374;0;Adlerflug GmbH;abgerechnet;00:04
Feuersturm GmbH / Fire Safety;7695096;16.02.2024;Developed prototype for upcoming product launch.;Niklas Hahn;0.06287;0;Feuersturm GmbH;abgerechnet;00:18
Wildfang AG / Outdoor Equipment;4353351;15.02.2024;Optimized database queries for faster load times.;Tom Braun;0.74058;0.65168;Wildfang AG;abgerechnet;04:36
Seeblick GmbH / Hotel Management;8588002;16.02.2024;Implemented user authentication system.;Julia Weber;0.0297;0.02511;Seeblick GmbH;abgerechnet;00:06
Silberfuchs GmbH / Cybersecurity;4276112;15.02.2024;Redesigned landing page for better conversion rates.;Lea Schneider;0.07798;0.22449;Silberfuchs GmbH;abgerechnet;01:34
Funkeln & Glanz KG / Retail Expansion;3471459;08.02.2024;Upgraded server infrastructure for scalability.;David Meier;0.03046;0.03573;Funkeln & Glanz KG;geprueft;00:00
Wildfang AG / Product Innovation;3100561;29.02.2024;Resolved bug in the payment module.;Clara Klein;0.03602;0.03229;Wildfang AG;abgerechnet;00:11
Feuersturm GmbH / Equipment Design;5219419;13.02.2024;Integrated third-party API for extended functionality.;Jonas Wagner;0.30833;0.26549;Feuersturm GmbH;abgerechnet;02:12
Glücksklee GmbH / Pharmaceutical Development;6463212;13.02.2024;Integrated third-party API for extended functionality.;Lena Krause;0.13166;0.10138;Glücksklee GmbH;abgerechnet;00:39
Seeblick GmbH / Hotel Management;6995279;19.02.2024;Refactored code for better maintainability.;Emma Kruger;0.0369;0.03289;Seeblick GmbH;abgerechnet;00:24
Drachenfels GmbH / Fantasy Game Development;3490670;28.02.2024;Implemented user authentication system.;Ben Richter;0.05185;0.11463;Drachenfels GmbH;abgerechnet;00:34
Nordlicht KG / Renewable Energy;4544893;29.02.2024;Improved security protocols to protect data.;Felix Voigt;0.14625;0.25235;Nordlicht KG;abgerechnet;02:23
Sandsturm AG / Climate Adaptation;9982415;27.02.2024;Developed prototype for upcoming product launch.;Lukas Fischer;0.11525;0.11692;Sandsturm AG;abgerechnet;01:09
Silberfuchs GmbH / AI Implementation;3871813;07.02.2024;Developed prototype for upcoming product launch.;Niklas Hahn;0.11132;0.13414;Silberfuchs GmbH;abgerechnet;00:54
Wildfang AG / Product Innovation;4063662;07.02.2024;Developed new analytics dashboard for insights.;Noah Schmid;0.12945;0.31763;Wildfang AG;abgerechnet;02:47
Mondschein KG / Optical Engineering;4253312;26.02.2024;Enhanced search functionality with advanced filters.;Anna Becker;0.18132;0.21693;Mondschein KG;abgerechnet;01:33
Sonnenstrahl KG / Lighting Design;5237308;09.02.2024;Refactored code for better maintainability.;Lukas Fischer;0.11854;0.12936;Sonnenstrahl KG;abgerechnet;01:15
Kleeblatt AG / Sustainability;7179056;26.02.2024;Implemented user authentication system.;Tim Neumann;0.2013;0.44494;Kleeblatt AG;abgerechnet;03:47
